source_id	name	closes_gap	use	structures	redistribution	access	priority	status	verified_on	url	rationale
chebi	ChEBI	identity	SEED	COMPLETE	ATTRIBUTION	BULK	1	CANDIDATE	2026-09-07	https://www.ebi.ac.uk/chebi/	Identity and structure authority, as in AntibioticMech, plus the specialized-metabolite role subtree that admits compounds no BGC covers. Release 255 holds 218,768 terms; counted directly from chebi.obo, 16,362 entities carry a role in the metabolite subtree, of which 3588 plant, 1964 bacterial, 1794 fungal and 505 marine. CC BY 4.0 quoted from the about page. No organism field and no taxid: producer information is encoded in role labels and definition prose, so ChEBI admits a record but rarely supplies a producer. The role allow-list in conf/np_roles.tsv is the scope decision and must exclude the bare metabolite roles, which would otherwise admit glucose.
discovery-literature	Discovery and biosynthesis literature	causal_graphs	REFERENCE	NONE	UNVERIFIED	BOTH	1	CANDIDATE			No database will close the causal_graphs column. A biosynthesis or bioactivity mechanism graph is authored from primary literature with a citation per edge. Listed here so the queue does not imply that adopting sources is the whole plan.
lotus	LOTUS	occurrences	SEED	COMPLETE	CC0_OK	BULK	1	CANDIDATE	2026-09-07	https://lotus.nprod.net/	The occurrence backbone, and the only source giving a genuine structure-organism-reference triple at scale. The 2026-04-13 frozen export was downloaded and measured: 674,454 triples, 227,319 unique InChIKeys, 37,486 organism QIDs, 91,382 reference DOIs, 175 rows with no DOI. Metadata table carries InChI, SMILES, PubChem CID, NCBI taxid, GBIF and OTT ids, and NPClassifier terms. CC0 via the Wikidata route, per Wikidata:Licensing for main-namespace structured data; the Zenodo frozen export is tagged cc-by-4.0 instead, so the route chosen decides the terms. Two cautions: manual_validation is present but empty in all 674,454 rows, so no curated subset can be selected, and the lotus.naturalproducts.net mirror is documented as unmaintained and being phased out. Occurrence only; never promote a LOTUS row to a producer claim.
mibig	MIBiG	producer_organisms	SEED	PARTIAL	ATTRIBUTION	BULK	1	CANDIDATE	2026-09-07	https://mibig.secondarymetabolites.org/	The anchor source and the only one carrying an expert-curated compound-to-BGC-to-producer triple with a machine-readable experimental-evidence qualifier. Release 4.0 dump holds 3013 entries, every one with an NCBI taxid, and 5443 compound records of which 4401 have a SMILES. CC BY 4.0 stated verbatim in the paper's data-availability section and the site footer; the mibig-json GitHub repository carries no LICENSE file, so the claim rests on those two. Three traps: no InChI or InChIKey field exists anywhere, so keys are generated locally from SMILES; quality reads questionable for 2710 of 3013 and marks legacy-format entries awaiting re-curation, not doubtful science; the changelog reviewer id is the AAAA placeholder in 2988 of 3013, so a reviewer gate would admit 25 entries. Gate on active status plus loci[].evidence[].method instead. Alkaloid was removed as a biosynthetic class in 4.0 and cluster class is now PKS, NRPS, ribosomal, terpene, saccharide, other.
antibioticmech	AntibioticMech	cross_corpus_links	SEED	COMPLETE	ATTRIBUTION	BULK	2	CANDIDATE	2026-09-07	https://github.com/CultureBotAI/AntibioticMech	The sibling corpus, pinned at a commit and read as a committed InChIKey inventory so the join reproduces offline. Supplies related_records links and lets this corpus decline to duplicate antimicrobial mechanism, target and resistance content. Same fleet licence.
cyanometdb	CyanoMetDB	producer_organisms	SEED	COMPLETE	ATTRIBUTION	BULK	2	CANDIDATE	2026-09-07	https://www.eawag.ch/en/department/uchem/projects/cyanometdb/	Small and manually curated from primary references, which is the evidence model this corpus wants: metabolite, producer organism, primary reference, SMILES, InChIKey, sample type and whether NMR was used. Version 03 released 2024-09-28, about 3085 metabolites. The Zenodo record carries licence id cc-by-4.0. No NCBI taxids; producer attribution is often to a genus or a bloom sample rather than an axenic strain, so most rows are occurrence-grade until checked. Many congeners differ by one residue or by stereochemistry, so InChIKey deduplication against other sources will surface near-duplicates that are genuinely distinct.
npclassifier	NPClassifier	classification	SEED	NONE	CC0_OK	API	2	CANDIDATE	2026-09-07	https://github.com/mwang87/NP-Classifier	Supplies the filing decision. A biosynthesis-oriented classifier that takes a SMILES and returns pathway, superclass and class, so every record can be filed whether or not it has a gene cluster. Ontology counted from the repository: 7 pathways, 77 superclasses, 687 classes. README states verbatim that all data, models and ontology are CC0, with MIT code. Output is a prediction and must carry the model version; the API returns arrays, so a record can hold several labels per level. Run locally with a pinned model rather than depending on the API.
pubchem	PubChem	structures	SEED	COMPLETE	CC0_OK	API	2	CANDIDATE	2026-08-30	https://pubchem.ncbi.nlm.nih.gov/	Structures for concepts the adopted sources name without one. Public domain as a US government work, but PubChem is an aggregator and its data-source documentation states reuse conditions are set by each contributing source, so the narrow use is fetching structures for CIDs an adopted source already cross-references. Importing PubChem annotations wholesale and labelling them open is not defensible.
bindingdb	BindingDB curated records	molecular_targets	SEED	COMPLETE	ATTRIBUTION	BULK	3	CANDIDATE	2026-09-07	https://www.bindingdb.org/	The one cleanly licensed, structure-keyed, measured-affinity dataset in the bioactivity landscape. BindingDB's terms state verbatim that data imported from ChEMBL is CC BY-SA 3.0 while all data curated by BindingDB staff is CC BY 3.0, and the downloads are split by provenance so the two are separable. The 2026-09 articles file was downloaded and profiled: 93,712 rows over 46,304 distinct InChIKeys, with Standard InChIKey as a first-class column, UniProt per target chain, PMID, DOI, and pH and temperature per measurement, which almost nothing else carries. Two warnings from that canary. 429 rows in the articles file are labelled ChEMBL, so filter on Curation/DataSource rather than on the filename. And 93,712 is far short of the 1.6M curated points the front page advertises; the rest is patent curation whose licensing is not separately stated. Affinities embed relational operators inside the numeric cell and multi-chain targets spread UniProt ids across ~600 columns.
chembl	ChEMBL	bioactivities	CURATE_ONLY	COMPLETE	SHARE_ALIKE	BULK	3	BLOCKED	2026-09-07	https://www.ebi.ac.uk/chembl/	The richest assay-context resource anywhere, and refused. Its FTP tree ships a LICENSE file reading Attribution-ShareAlike 3.0 Unported, so records derived from it cannot be redistributed under CC BY 4.0. Release 37 holds 24,527,044 activities over 1,970,438 assays, and already ingests CO-ADD antimicrobial screening, MMV Malaria and Pathogen Box, and DNDi. Curate-only: a lookup that guides curation from the underlying primary literature. One finding that matters beyond the licence: the natural_product flag has false positives. CHEMBL2 is prazosin, a wholly synthetic quinazoline, flagged natural_product=1 while its own np_likeness_score of -1.29 disagrees, verified by direct API call. The flag was rebuilt at release 33 from COCONUT mappings. Direct evidence that a computed or flag-based natural-product signal must never admit a record.
